,word,score,count,ratio
911,🎹,5,17,0.29411764705882354
515,🌴,5,29,0.1724137931034483
198,🎟,5,12,0.4166666666666667
425,💅,5,74,0.06756756756756757
446,🇴,5,22,0.22727272727272727
478,🐩,5,8,0.625
22,🦖,5,7,0.7142857142857143
456,🧘,5,23,0.21739130434782608
823,🏟,5,13,0.38461538461538464
989,🎙,6,17,0.35294117647058826
893,📞,6,10,0.6
1091,🙆,6,62,0.0967741935483871
458,💻,6,24,0.25
452,⚔,6,25,0.24
851,🚗,6,9,0.6666666666666666
1043,🇨,6,58,0.10344827586206896
1080,😽,6,18,0.3333333333333333
321,🎺,6,7,0.8571428571428571
624,😸,6,19,0.3157894736842105
602,🎼,6,38,0.15789473684210525
103,🧚,6,25,0.24
275,🏖,6,15,0.4
141,🖖,6,17,0.35294117647058826
406,🕺,6,61,0.09836065573770492
623,🐹,6,12,0.5
140,🇽,6,19,0.3157894736842105
5,🍬,6,21,0.2857142857142857
627,🥊,6,25,0.24
66,⛳,6,13,0.46153846153846156
360,🌝,6,26,0.23076923076923078
887,🦄,6,21,0.2857142857142857
862,💆,6,48,0.125
787,🎸,6,31,0.1935483870967742
621,🆚,6,27,0.2222222222222222
859,🤑,7,60,0.11666666666666667
1053,🍒,7,23,0.30434782608695654
432,👆,7,44,0.1590909090909091
437,🥎,7,12,0.5833333333333334
564,🍳,7,15,0.4666666666666667
281,🍹,7,12,0.5833333333333334
818,🤸,7,24,0.2916666666666667
161,🧁,7,14,0.5
237,👄,7,48,0.14583333333333334
117,🏷,7,8,0.875
61,🍊,7,37,0.1891891891891892
822,🎾,7,12,0.5833333333333334
63,🌤,7,14,0.5
1130,🍌,7,19,0.3684210526315789
783,▶,7,44,0.1590909090909091
562,💟,7,27,0.25925925925925924
916,🚀,7,73,0.0958904109589041
277,🙊,8,73,0.1095890410958904
280,🌍,8,35,0.22857142857142856
974,🌚,8,105,0.0761904761904762
264,🐇,8,25,0.32
15,🦊,8,22,0.36363636363636365
505,🏉,8,14,0.5714285714285714
890,🌎,8,72,0.1111111111111111
630,🤎,8,17,0.47058823529411764
464,🏈,8,22,0.36363636363636365
839,🐻,8,31,0.25806451612903225
997,📱,8,15,0.5333333333333333
915,🍆,8,78,0.10256410256410256
337,✋,8,88,0.09090909090909091
57,📌,8,18,0.4444444444444444
298,🐺,8,31,0.25806451612903225
661,🤠,8,70,0.11428571428571428
24,🍺,8,29,0.27586206896551724
518,✴,8,13,0.6153846153846154
586,🥀,8,38,0.21052631578947367
1056,📍,9,40,0.225
2,⏰,9,60,0.15
620,🇭,9,41,0.21951219512195122
815,🇱,9,38,0.23684210526315788
113,🔗,9,53,0.16981132075471697
361,🍕,9,18,0.5
179,🔵,9,41,0.21951219512195122
338,😙,9,39,0.23076923076923078
195,🎨,9,18,0.5
1000,🌏,9,19,0.47368421052631576
56,💌,9,36,0.25
341,🍫,9,16,0.5625
663,👯,9,18,0.5
539,🎀,10,30,0.3333333333333333
381,🇯,10,24,0.4166666666666667
958,💩,10,81,0.12345679012345678
23,⬆,10,28,0.35714285714285715
545,🍦,10,17,0.5882352941176471
356,⚪,10,40,0.25
769,☘,10,36,0.2777777777777778
400,🧐,11,142,0.07746478873239436
789,👶,11,29,0.3793103448275862
845,🍓,11,28,0.39285714285714285
1094,🎤,11,39,0.28205128205128205
895,🐯,11,15,0.7333333333333333
87,🇰,11,28,0.39285714285714285
188,✝,11,23,0.4782608695652174
981,🌊,11,59,0.1864406779661017
1033,💁,11,83,0.13253012048192772
617,👈,12,199,0.06030150753768844
510,🐐,12,97,0.12371134020618557
1008,🤲,12,57,0.21052631578947367
292,✍,12,32,0.375
336,💲,12,33,0.36363636363636365
678,🌿,12,49,0.24489795918367346
1075,⬇,13,58,0.22413793103448276
426,😛,13,92,0.14130434782608695
765,🙋,13,106,0.12264150943396226
1029,🤪,13,406,0.03201970443349754
1078,🎧,13,35,0.37142857142857144
256,👨,13,43,0.3023255813953488
430,🦁,13,37,0.35135135135135137
397,😬,14,309,0.045307443365695796
486,📚,14,34,0.4117647058823529
708,🐝,14,33,0.42424242424242425
820,🤓,14,74,0.1891891891891892
860,🍃,14,51,0.27450980392156865
242,🌙,14,39,0.358974358974359
640,🏃,14,74,0.1891891891891892
431,🥁,15,25,0.6
181,👅,15,89,0.16853932584269662
842,✈,15,62,0.24193548387096775
1041,🍰,15,30,0.5
1088,🌱,16,53,0.3018867924528302
912,🎵,16,85,0.18823529411764706
638,😝,16,155,0.1032258064516129
134,😴,16,138,0.11594202898550725
508,💎,16,82,0.1951219512195122
254,❗,16,97,0.16494845360824742
19,⚾,16,42,0.38095238095238093
988,📷,17,58,0.29310344827586204
931,😭,17,5183,0.003279953694771368
592,🏁,17,44,0.38636363636363635
1112,®,18,87,0.20689655172413793
294,🇹,18,87,0.20689655172413793
109,😏,19,389,0.04884318766066838
559,🇦,19,88,0.2159090909090909
55,🇲,19,74,0.25675675675675674
724,📸,20,86,0.23255813953488372
740,🤙,20,115,0.17391304347826086
252,🤝,20,189,0.10582010582010581
979,💸,21,62,0.3387096774193548
814,🙈,21,271,0.07749077490774908
107,🇵,21,67,0.31343283582089554
599,🍻,22,65,0.3384615384615385
428,🇧,22,84,0.2619047619047619
359,👋,22,129,0.17054263565891473
932,🇳,22,79,0.27848101265822783
234,🇪,23,82,0.2804878048780488
156,🥵,23,223,0.1031390134529148
104,🤟,23,112,0.20535714285714285
405,🇷,23,134,0.17164179104477612
479,🍾,24,50,0.48
235,➡,24,120,0.2
88,✔,24,75,0.32
228,😜,25,264,0.0946969696969697
1129,🐶,26,78,0.3333333333333333
781,🍑,26,97,0.26804123711340205
721,😚,27,99,0.2727272727272727
477,🎶,28,222,0.12612612612612611
886,🇮,28,84,0.3333333333333333
963,🐰,29,75,0.38666666666666666
44,🏀,29,87,0.3333333333333333
976,💝,29,79,0.3670886075949367
481,‼,30,292,0.10273972602739725
1,🌼,31,63,0.49206349206349204
253,🚨,31,124,0.25
918,😻,31,99,0.31313131313131315
399,🥂,31,67,0.4626865671641791
766,💃,32,129,0.24806201550387597
355,🛒,32,133,0.24060150375939848
1111,🐾,33,80,0.4125
674,🌈,34,123,0.2764227642276423
506,💐,34,76,0.4473684210526316
987,🤧,34,288,0.11805555555555555
1090,😈,34,312,0.10897435897435898
130,🇬,35,120,0.2916666666666667
51,😆,36,401,0.08977556109725686
722,💫,36,130,0.27692307692307694
636,💦,37,205,0.18048780487804877
1055,✏,38,233,0.1630901287553648
701,⚽,39,128,0.3046875
1074,🏿,42,189,0.2222222222222222
618,☕,43,90,0.4777777777777778
396,😅,43,688,0.0625
745,🦋,44,116,0.3793103448275862
557,🌷,45,77,0.5844155844155844
782,🥉,45,56,0.8035714285714286
986,😳,45,822,0.05474452554744526
484,🍀,46,110,0.41818181818181815
445,😂,46,9435,0.004875463698993111
1072,😺,46,247,0.1862348178137652
1092,🌟,46,102,0.45098039215686275
206,🥈,48,54,0.8888888888888888
561,🌺,49,90,0.5444444444444444
507,🎁,49,67,0.7313432835820896
778,🤔,51,928,0.05495689655172414
152,👀,51,918,0.05555555555555555
153,🌞,52,107,0.48598130841121495
837,🌻,53,106,0.5
357,🏅,53,59,0.8983050847457628
158,🤤,53,294,0.18027210884353742
40,😄,54,235,0.2297872340425532
398,👊,55,210,0.2619047619047619
110,✅,58,211,0.27488151658767773
230,🤘,58,168,0.34523809523809523
959,🧡,60,142,0.4225352112676056
451,🏴,60,109,0.5504587155963303
698,🐳,61,96,0.6354166666666666
485,✊,61,254,0.24015748031496062
358,😇,62,215,0.28837209302325584
1036,🏆,62,128,0.484375
1030,💋,64,215,0.29767441860465116
207,❣,65,160,0.40625
178,🔴,67,244,0.27459016393442626
394,🙂,68,336,0.20238095238095238
910,⭐,68,207,0.3285024154589372
676,✌,69,408,0.16911764705882354
258,🎈,70,94,0.7446808510638298
884,🤍,71,225,0.31555555555555553
882,😃,73,213,0.3427230046948357
53,🌸,75,191,0.39267015706806285
482,🤞,76,252,0.30158730158730157
538,😋,77,349,0.22063037249283668
333,💥,80,304,0.2631578947368421
0,😀,82,283,0.28975265017667845
108,💘,86,188,0.4574468085106383
187,🎊,90,129,0.6976744186046512
1114,💯,91,714,0.12745098039215685
977,☀,91,179,0.5083798882681564
105,🌹,92,217,0.423963133640553
1010,🥇,93,119,0.7815126050420168
957,👑,97,237,0.4092827004219409
1009,💰,99,202,0.4900990099009901
295,🇺,101,309,0.3268608414239482
956,🇸,108,306,0.35294117647058826
334,⚡,110,247,0.44534412955465585
975,⚠,110,184,0.5978260869565217
1054,🏾,114,1172,0.09726962457337884
1028,💓,121,295,0.4101694915254237
883,😌,129,581,0.22203098106712565
312,🖤,132,430,0.30697674418604654
131,🎂,136,171,0.7953216374269005
449,👉,143,437,0.32723112128146453
233,🤩,147,421,0.3491686460807601
581,😎,154,583,0.2641509433962264
1032,🥳,155,389,0.39845758354755784
315,😉,155,698,0.22206303724928367
656,☺,159,461,0.34490238611713664
909,🏽,169,1204,0.1403654485049834
635,💞,171,358,0.4776536312849162
39,💛,184,463,0.39740820734341253
483,🏼,188,977,0.19242579324462641
953,💚,188,533,0.3527204502814259
106,🙌,200,592,0.33783783783783783
395,🤗,206,502,0.4103585657370518
537,💗,210,513,0.4093567251461988
657,😁,225,881,0.25539160045402953
913,♥,246,655,0.3755725190839695
448,💪,247,674,0.3664688427299703
615,👌,250,653,0.38284839203675347
880,🏻,267,1726,0.15469293163383546
762,🎉,274,425,0.6447058823529411
780,👇,284,520,0.5461538461538461
176,✨,285,751,0.3794940079893475
659,👏,294,761,0.38633377135348224
761,😘,320,869,0.36823935558112775
1071,💖,336,756,0.4444444444444444
1052,💙,337,900,0.37444444444444447
741,👍,420,1254,0.3349282296650718
313,🔥,452,1798,0.25139043381535037
154,😊,515,1135,0.45374449339207046
1051,💕,515,1159,0.4443485763589301
12,🙏,516,1465,0.35221843003412967
13,🥰,570,1428,0.39915966386554624
696,💜,692,1825,0.37917808219178084
1007,😍,885,2406,0.36783042394014964
102,🥺,1015,3669,0.2766421368220223
655,❤,1709,4075,0.41938650306748465
